HHNR;Wegnummer;Distanz_km;Emissionen;Verkehrsmittel
110868;8;8.345;1777.0028394773149;Auto
110872;5;1.5;0.0;Zu Fuss
110875;3;4.302;0.0;Zu Fuss
110877;5;0.567;0.0;Zu Fuss
110877;6;18.785;4518.745278900645;Auto
110907;1;2.0;0.0;Zu Fuss
110916;2;2.5;0.0;Zu Fuss
110918;1;11.537;2736.722887054161;Auto
110941;3;0.41;0.0;Zu Fuss
110951;4;1.47;8.202646160939999;Velo
110962;1;3.68;0.0;Zu Fuss
110979;2;9.876;0.0;Zu Fuss
110979;5;93.297;19406.58378492507;Auto
110979;6;2.0;0.0;Zu Fuss
110982;1;0.2;0.0;Zu Fuss
110982;3;11.836;0.0;Zu Fuss
110984;3;4.088;0.0;Zu Fuss
110985;1;13.233;2058.173033958591;Auto
110985;2;3.0;0.0;Zu Fuss
110985;4;1.0;0.0;Zu Fuss
110994;1;0.623;0.0;Zu Fuss
111004;3;10.686;2657.1028185921177;Auto
111006;3;0.549;0.0;Zu Fuss
111007;1;6.084;0.0;Zu Fuss
111008;1;1.0;0.0;Zu Fuss
111008;2;2.0;0.0;Zu Fuss
111036;5;0.3;0.0;Zu Fuss
111037;4;1.629;391.85712320091295;Auto
111054;4;0.5;0.0;Zu Fuss
111061;3;3.028;0.0;Zu Fuss
111071;1;1.0;0.0;Zu Fuss
111087;1;1.547;0.0;Zu Fuss
111093;1;3.416;19.061387269231997;Velo
111097;1;11.389;1847.9527838986091;Auto, Anderes
111103;3;23.211;3610.0849611737967;Auto
111103;4;1.7389999999999999;270.472523694853;Auto, Auto
111121;3;0.832;0.0;Zu Fuss
111123;3;2.367;0.0;Zu Fuss
111132;2;21.865;5436.791421347244;Auto
111133;1;5.964;0.0;Zu Fuss
111135;3;7.97;0.0;Zu Fuss
111147;3;37.38;10439.46316429296;Auto
111151;1;6.002;0.0;Zu Fuss
111152;1;5.446;0.0;Zu Fuss
111159;1;1.2;0.0;Zu Fuss
111159;2;1.2;0.0;Zu Fuss
111159;3;2.0;0.0;Zu Fuss
111164;4;1.5;0.0;Zu Fuss
111192;3;1.5;0.0;Zu Fuss
111192;4;1.5;0.0;Zu Fuss
111192;5;1.5;0.0;Zu Fuss
111196;3;2.5;0.0;Zu Fuss
111197;1;2.84;0.0;Zu Fuss
111215;5;0.241;0.0;Zu Fuss
111215;6;0.425;0.0;Zu Fuss
111231;1;25.257;6280.221400821741;Auto
111245;1;0.5;0.0;Zu Fuss
111245;2;6.984;0.0;Zu Fuss
111246;3;2.612;0.0;Zu Fuss
111267;1;3.0;0.0;Zu Fuss
111267;2;2.0;0.0;Zu Fuss
111283;1;0.5;0.0;Zu Fuss
111284;1;0.171;0.0;Zu Fuss
111284;3;9.734;0.0;Zu Fuss
111284;5;17.305;3723.77992324036;Auto
111285;3;4.943;660.754570447384;Auto
111302;4;3.774;0.0;Zu Fuss
111305;2;0.5;0.0;Zu Fuss
111305;3;1.88;252.2384409048;Bus
111305;5;10.0;0.0;Zu Fuss
111307;1;0.6;0.0;Zu Fuss
111308;1;55.295;9949.44553144259;Auto
111308;4;2.0;0.0;Zu Fuss
111323;1;0.212;0.0;Zu Fuss
111341;5;2.782;0.0;Zu Fuss
111341;7;0.025;0.0;Zu Fuss
111345;1;4.102;0.0;Zu Fuss
111345;2;20.057;3637.853101029913;Auto
111374;1;5.784;0.0;Zu Fuss
111374;2;4.096;881.398588014592;Auto
111413;1;2.5;0.0;Zu Fuss
111425;1;2.5;0.0;Zu Fuss
111425;2;1.5;0.0;Zu Fuss
111425;3;2.5;0.0;Zu Fuss
111433;1;1.5;0.0;Zu Fuss
111433;4;1.0;0.0;Zu Fuss
111457;5;0.434;0.0;Zu Fuss
111459;2;27.736;4244.061557044927;Auto
111481;3;1.116;264.729370022748;Auto
111486;1;1.769;0.0;Zu Fuss
111505;1;2.0;0.0;Zu Fuss
111511;1;2.0;0.0;Zu Fuss
111513;1;4.0;0.0;Zu Fuss
111522;2;2.422;521.178559612144;Auto
111523;1;1.1;0.0;Zu Fuss
111527;1;2.0;0.0;Zu Fuss
111533;1;8.098;0.0;Zu Fuss
111533;2;2.0;0.0;Zu Fuss
